companyName,title,location,address,city,state,zipcode,isRemote,categories,compensation,compensationRange,salaryMin,salaryMax,salaryType,jobType,description,workSchedule,schedule,minimumAge,openingDate,closingDate,isOngoing,applicationDeadline,eligibility,applicationLink,hasTraining,hasAdvancement,requiresTransportation,requiresResume,photoUrl,isActive,isApproved
"Help sort medical supplies heading for Latin America","Help sort medical supplies heading for Latin America","","2424 4th Street","Warehouse G Berkeley","California","94710",false,"Community Service","Volunteer / Unpaid","","","","","","Update from 9/21/20: Now – we did have to suspend our volunteer program due to COVID 19 But its possible we will start up with very small groups of 6 or so soon as the City permits. Volunteers will help sort donated medical supplies so that they can be shipped off. Since 1991, VIDA has sent over 475 ocean containers of donated medical supplies to clinics and hospitals in Latin America. See image for more details.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Prune, harvest, and identify various plants","Prune, harvest, and identify various plants","","1305 Hopkins Street Berkeley","California 94702","California","94702",false,"Community Service","Volunteer / Unpaid","","","","","","A volunteer would prune and harvest overgrown plant crops, replace overgrown, weeded plants, remove any excess growth from front yard, replace bushes with more appropriate native plants, identify various plants, and possibly other tasks SKILLS REQUIRED: Not afraid of plants or getting a little dirty","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Help out at a transitional home for women and children","Help out at a transitional home for women and children","","6423 Colby St","Oakland","California","94618",false,"Community Service","Volunteer / Unpaid","","","","","","Volunteers care for kids by watching them while their mothers attend meetings, help with homework, share stories, mentor, chaperone field trips, tutor, etc. For full details of opportunities, click here. An application is required and is followed by an in-person interview, orientation and training.​","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Assist homeless children with homework","Assist homeless children with homework","","Downtown Richmond Richmond","California 94807","California","94807",false,"Community Service","Volunteer / Unpaid","","","","","","Volunteers support homework/study hours at Bay Area Rescue Mission (BARM) in Downtown RIchmond during the school year and assist with the literacy club in the summer months at this same location. SKILLS REQUIRED: Basic math knowledge","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Volunteer at Rebuilding Together East Bay","Volunteer at Rebuilding Together East Bay","","3318 Adeline Ave Berkeley","California 94703","California","94703",false,"Community Service","Volunteer / Unpaid","","","","","","Rebuilding Together East Bay-North fills a pressing need in our community for repairs, renovations, and safety modifications that improve the lives of low-income seniors, people with disabilities, veterans, and nonprofits. They need volunteers to keep their Salesforce, website, and social media updated.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Hold a food or toiletries drive for those in need","Hold a food or toiletries drive for those in need","","1921 San Pablo Avenue Oakland","California 94612","California","94612",false,"Community Service","Volunteer / Unpaid","","","","","","Project Open Hand collects and shares toiletries with their clients, many of whom struggle to afford basic needs. Please drop off new, full and sample-size toiletries (list of items needed below) at the Project Open Hand’s location. Project Open Hand also collects food for their clients. The food must fit the nutrition guidelines seen here: sodium – less than 5% DV or 140 mg per serving Saturated Fat – 15% DV or less No partially hydrogenated oils in ingredients. No high fructose corn syrup in the ingredients. Canned fruit in juice or light syrup only. Whole grains only. Ex: canned chicken, natural peanut butter, and light in sodium lentil vegetable soup.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Assist a wellness class for women with cancer","Assist a wellness class for women with cancer","","2908 Ellsworth St. Berkeley","California 94705","California","94705",false,"Community Service","Volunteer / Unpaid","","","","","","Volunteer will assist Wellness Workshop classes, where they can help set-up, assist as needed during the workshop, and clean-up after. The classes are typically a three- to four-hour time commitment on a Saturday during the day, or in the evening, usually from about 5:30-8:30 pm. Volunteers are welcome to attend or participate in the workshop for which they’re volunteering, as long as the volunteer duties are covered.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Help out around the East Bay SPCA","Help out around the East Bay SPCA","","8323 Baldwin St. Oakland","California 94621","California","94621",false,"Community Service","Volunteer / Unpaid","","","","","","Students will be completing a variety of tasks to assist East Bay SPCA programs and the animals in our care. They may make dog treats, prepare for upcoming East Bay SPCA programs or events, assist with shelter clean-up, or provide attention for the animals in our care. OTHER INFO: Our Youth Volunteer Club does have a small fee to participate. This fee helps to cover the cost of staff supervision during the program and allows participants to volunteer immediately & short term without having to go through extensive training on safety instruction and shelter protocol. Please note that this is a volunteer program–while all volunteer tasks will be centered around helping the shelter and the animals in our care, participants should not expect to spend the full session with the shelter animals. In order to make sure our animal-loving participants still get the dog and cat time we know they love, we will plan to include a minimum of one hands-on animal meet-and greet per day.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Get community service hours fast with a variety of opportunities","Get community service hours fast with a variety of opportunities","","3742 Grand Ave Oakland","California 94610","California","94610",false,"Community Service","Volunteer / Unpaid","","","","","","Uhuru Furniture & Collectibles has ongoing volunteer opportunities. Volunteer Opportunities include: * photography * community outreach * phone/sales in store * packing/unpacking donations * social media * graphics design * moving furniture Uhuru Furniture & Collectibles is an economic development project of the African People’s Education and Defense Fund (APEDF). APEDF strives to develop and institutionalize programs to defend the human and civil rights of the African community and the address the grave disparities in education, health, health care and economic development faced by the African community.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Perform or entertain at a nursing home","Perform or entertain at a nursing home","","1309 Allston Way Berkeley","CA 94702","CA","94702",false,"Community Service","Volunteer / Unpaid","","","","","","Can you play an instrument or entertain others in some way? Chaparral House is a small non-profit nursing home in Berkeley that seeks experienced, talented solo performers or small groups to perform and delight our elder residents. Especially need performers for 4:30pm on weekends. Musicians, Singers with Accompaniment, Magicians, Comedians, Puppeteers, Dancers, Actors, Impersonators, & Improv groups etc.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Friendly visits to hospice patients-Alameda County","Friendly visits to hospice patients-Alameda County","","Various locations in Oakland","CA","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","VITAS is looking for kind and caring people to help terminally ill patients and their families. Friendly visits, simple errands, providing a listening ear and the gift of friendship at a crucial time can make a real difference in another’s life. Yours, too! Other VITAS volunteer activities: relief care (sit with a patient while the caregiver takes a break); friendly visits to patients and their families at home or in a nursing home; driving a patient or family member to appointments; accompanying a patient to a church function, wedding, beauty shop, play, ballgame; run errands to the grocery store, drug store, post office; assist with programs and special events. REQUIREMENTS: A background check, must be at least 15, attend orientation or training, works 2-4 hours a week","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Volunteer to call BINGO for low-income seniors at St. Patrick’s Terrace!","Volunteer to call BINGO for low-income seniors at St. Patrick’s Terrace!","","St. Patrick's Terrace 1212 Center St Oakland","CA 94607","CA","94607",false,"Community Service","Volunteer / Unpaid","","","","","","Do you want to get involved with your community and help prevent social isolation through playing BINGO? Volunteer to call BINGO for seniors living at St. Patrick’s Terrace in Oakland! We are looking for a volunteer to call BINGO for one hour a week Monday, Tuesday or Wednesdays. The volunteer will facilitate BINGO games, socialize with residents and then straighten up afterwards. BINGO is a very popular activity that is also a great opportunity to build community and keep our residents active! About SAHA: Satellite Affordable Housing Associates is committed to providing quality, service-enriched, affordable housing in the bay area. REQUIREMENTS: – Background check – Must be at least 16 – Orientation or Training 1/week – 4 month commitment. SKILLS REQUIRED: – Elder care – People Skills – Community Outreach – Verbal / Written Communication skills","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Celebrations throughout the year","Celebrations throughout the year","","2501 Harrison Street #U8 Oakland","California 94612","California","94612",false,"Community Service","Volunteer / Unpaid","","","","","","Volunteer with California Revels! Help with the many activities we present throughout the year, work backstage on the show, or even join the chorus! The Revels are at work year ’round, spreading joy and celebration. Bringing more people into the community is at the core of what we do. We hope that you will offer your assistance in any ways that interest you. Some of the ongoing opportunities for which California Revels seeks volunteers include: keeping information up-to-date in our office; finding new opportunities and partnerships for the Revels; organizing and tracking props and other materials; working with our designers to sew costumes; acting as a Revels Ambassador by staffing booths at local street fairs and festivals; auditioning to be part of the chorus. Auditions take place in the late summer and rehearsals usually begin in October. Find out more about auditions.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Volunteer in the Women’s Center","Volunteer in the Women’s Center","","2272 San Pablo Avenue Oakland","CA 94612","CA","94612",false,"Community Service","Volunteer / Unpaid","","","","","","The St. Vincent de Paul West Oakland Women’s Center is located in one of the most distressed neighborhoods in Northern California and provides direct assistance to women and children in need. It is a safe and welcoming environment where women can come in for a warm shower, to do their laundry, use the toilets and feel that they are in a safe and welcoming area. Volunteers will be asked to: Greet clients as they enter the center. Help to check-in clients. Assist front desk with handing out towels, and hygiene items. Assist with laundry services. Replenish supplies. Help to manage the baby room, where we give away children’s clothes, shoes and diapers. Time: Shifts are available Tuesday – Saturday between 9:30am am and 3pm.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Assist in a clothing closet for those in need","Assist in a clothing closet for those in need","","675 - 23rd Street Oakland","CA 94612","CA","94612",false,"Community Service","Volunteer / Unpaid","","","","","","Help manage our free clothing closet, and give fresh, clean clothes to those in need. At St. Vincent de Paul’s West Oakland Direct Service Campus we provide a number of services including giving people who are most in need free and clean clothes, socks, underwear, shoes, jackets etc.. Our services are open Tuesday through Saturday, and the clothing closet shift is 1pm-3pm. As a clothing closet volunteer you will be working closely with our guests to ensure that they receive excellent customer service and feel that their needs are met. You monitor the clothing closet and help people to find what they need. In addition you ensure that everyone follows the basic rules of the clothing closet and is treated equally. REQUIREMENTS: -Must be at least 16 – Orientation or Training – One time or on-going for 2 hours","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Come farm with us!","Come farm with us!","","1050 San Pablo Avenue Albany","CA 94706","CA","94706",false,"Community Service","Volunteer / Unpaid","","","","","","Five days a week, the Farm opens it doors to any individuals or groups wishing to come and experience the communal urban farm model. As there are no private plots, volunteers, often from different countries and different ages work side by side towards the good of the Farm. There are many ways to get involved with the Farm and no gardening or farming experience necessary. Just stop by during open hours and help out with anything from planting, bed preparation, composting to carpentry, hosting, and data entry.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Perform for seniors living with dementia","Perform for seniors living with dementia","","110 41st st Oakland","CA 94611","CA","94611",false,"Community Service","Volunteer / Unpaid","","","","","","Do you like to do arts & crafts projects? Do you play an instrument? Do you want to hang out with a small group of seniors and bring big smiles to their faces? You’re at the right place! We greatly welcome volunteers who would be interested in performing music or assisting or leading group art projects in our community of seniors living with dementia (we have a range of 12-16 residents at one time). We are happy to talk with you about how you’d like to participate in a way that makes you feel both comfortable and excited. Thank you for your consideration, and we hope to meet you soon! SKILLS REQUIRED: – Can follow written instructions – Writes legibly – Knowledge about books is also helpful REQUIREMENTS: – Must be at least 15 – Orientation or Training – Minimum of once a month (for 30-60 minutes)","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Teen Volunteer at the TeenZone","Teen Volunteer at the TeenZone","","125 14th Street Oakland","CA 94612","CA","94612",false,"Community Service","Volunteer / Unpaid","","","","","","The TeenZone at the Main Branch of the Oakland Public Library hosts many teen volunteers every week who help us keep things running. We have various tasks and special projects for you to do, ranging from running our regular video game program, to making signs, performing light shelving, laminating books and exploring projects of your own. We all learn a lot together and have fun doing it, too! Especially if you’re artistic or creative, we’d love to have you help us create signs, art, and flyers, or possibly run craft programs for the TeenZone (But it’s also okay if you’re not! We appreciate all of our volunteers) Must be 14 years old. If this sounds like a good fit for you, please fill out an application in-person or online. We look forward to hearing from you!","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Volunteer inside a historic house museum","Volunteer inside a historic house museum","","1440 29th Avenue Oakland","CA 94601","CA","94601",false,"Community Service","Volunteer / Unpaid","","","","","","Update from 9/21/20: We are not fully open, hopefully soon as there are many projects inside the house. We have a board meeting on Sunday and I hope we will open to a few people volunteering inside. We need help cataloging our collections. We have textiles, art, books, furniture, historic documents and more that we are entering into our database. We are a small non profit and need grant writing and help with historic papers and organization.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Easy volunteer opportunity to support renewable energy!","Easy volunteer opportunity to support renewable energy!","","Oakland","CA","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Help us table about renewable energy in the East Bay! These events are very fun and a good way to engage with your neighbors about the services provided by the new energy provider. East Bay Community Energy (EBCE), is the new local electricity supplier in Alameda County. EBCE will provide cleaner, greener energy at lower rates to the counties electricity customers. EBCE will reinvest earnings back into the community to create local green energy jobs, local programs, and clean power projects. EBCE partners with the local utility, Pacific Gas & Electric (PG&E). They procure electricity from clean, renewable sources such as solar and wind on behalf of Alameda County residents and businesses. PG&E continues to deliver power, handle customer billing, maintain the power lines, and respond to new service requests and emergencies.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
